,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66
143B,2.5730004,1.339967,-1.7796072,-0.4170693,-0.028738076,2.0115652,-0.28123942,0.34744614,-0.14221765,-1.5796314,-3.1627243,1.4799322,-0.9994638,0.46659988,-1.283333,1.8389796,1.9729581,-0.11666323,-0.71866155,1.0567185,1.317843,1.1065046,0.9465858,2.8001878,-2.7369277,0.010098405,-2.8739479,0.67819697,1.462872,-1.16447,1.7763593,0.16197509,-0.815097,-0.26405737,3.242811,-1.0057654,-0.5339721,0.12831154,-1.555605,0.76415026,-2.9273121,-0.7844397,1.7274601,1.1747441,-1.1856258,-0.8400303,0.08286491,0.74470097,1.971477,-2.3191965,-1.2971432,1.0296893,-0.40509704,-0.81130576,-0.8652182,0.25606853,-0.91387856,1.4414037,0.4392411,1.5347065,-0.6008055,0.060338214,0.66142523,-0.7030015,-1.6776538,1.4518594,0.17788269
HCC1171,-0.45132715,0.7824855,-0.7355755,-0.69249403,-1.0420196,-0.8931949,-0.48078617,-0.43123746,-0.061250947,0.8525216,-0.0089821955,0.20540462,0.8181981,0.5651607,0.42891675,-0.10107847,0.06476742,1.2428734,0.1827603,-0.48349145,-0.025783315,-0.36360317,-0.1596181,0.4115981,0.15894225,1.326901,0.31406477,-0.43719122,-0.5887868,0.50275475,0.18275902,-0.43315828,-0.21548972,0.4563114,-1.2335455,0.18884149,-0.15615064,-1.3927441,0.23136815,-0.33403724,0.68515104,-0.4756559,-0.49244753,-0.40778947,-0.0060651824,0.75834686,-0.30151337,-0.13308989,-0.09142382,-0.036274567,-0.155388,0.19434398,0.35197666,-1.0055776,-0.3500932,0.37496358,0.4229591,-0.21253912,0.09324351,0.15661786,0.16956776,-0.22057495,-0.45058247,-0.29894853,0.81548107,-0.29965693,-0.060653664
COLO 849,-0.13641816,-0.13902289,-0.9213454,0.16727681,0.51460063,0.25094664,0.36942396,1.633459,1.8569186,0.7539941,0.29353824,0.07694633,0.389408,0.13286224,-1.1610744,1.3174938,0.16887012,1.1227258,-0.43677354,0.81949174,-2.2471137,0.09983392,2.5118322,-0.7513131,0.7755617,0.52504784,0.43281174,1.8052646,1.729705,2.107428,-0.15039545,-0.2261568,1.0719312,-0.79069203,1.3740402,0.3678695,-0.86973107,-0.5737539,-0.4408959,-0.8569719,-1.6574224,1.0114894,1.2255497,-0.000625208,0.80602044,2.932742,-0.08206946,-0.8384055,0.7766974,0.63714695,-0.8010086,0.39553794,-0.20267381,1.7471256,1.3694149,-0.2244697,-0.031829625,0.79826623,0.0066693276,0.11878121,-0.6593526,-1.232873,0.23970462,-3.0001304,0.014329333,1.3733027,-0.1655611
PL45,0.41479823,-0.066171005,-0.024693064,1.9754703,1.0867159,2.1380284,-0.046607196,-0.3515086,0.988654,-0.48105866,0.10104287,0.51363933,-0.115862146,-1.1307793,-0.3848055,-0.55212885,-0.14580108,0.0780465,-0.56149185,1.0400046,-0.26284522,-0.6314188,0.08025352,-0.27599317,-0.11422986,-1.655153,-0.31700647,1.1543663,0.6419674,0.688584,-0.5715048,0.17660497,0.2920828,0.16566409,0.24553788,0.0662345,-0.5811227,0.9883662,-1.0710593,0.77146167,-1.4994581,-0.2621364,1.4594586,-0.23809569,-0.55333334,-0.50970757,1.8881813,1.2350615,0.36071438,1.9876724,-0.8640044,0.35880917,-0.26953417,0.3933325,0.18291892,-0.7264041,0.24058545,0.9262806,0.40261644,-0.19204928,0.4237224,0.4437111,0.6652372,0.114613324,-2.012664,0.007616803,-1.2279738
Hs 606.T,-0.85748476,0.7053406,-0.6435135,-0.8945449,-1.254574,-1.0616314,-0.6630109,-0.49765345,-0.34376353,0.7484344,0.30896947,-0.5855576,0.34512532,0.41814828,0.12878524,-0.13732862,-0.02498601,1.1100119,0.1220313,-0.72726417,-0.04372468,-0.39307442,-0.38809672,0.43092775,0.12046367,1.2758479,0.35380483,-0.6698552,-1.0741233,-0.5427463,0.25832123,-0.4653476,-0.3314426,0.8874805,-0.86363256,0.39840713,-0.07967324,-1.3870523,0.5507624,-0.07815277,1.0894281,-0.48617405,-0.6500976,-0.2872281,0.07032663,0.87578034,-0.5939299,-0.3068647,-0.2908182,0.30059588,0.00010903552,-0.103356384,0.11589315,-0.9746813,-0.49760568,0.58696616,0.6006723,-0.5063493,-0.40423056,0.15807223,-0.029272694,-0.19499439,-0.4585188,-0.024102218,0.7673956,-0.6025206,0.3541871
SNU-182,-1.1422014,0.9191855,-0.59790033,-0.94151497,-1.3389881,-1.0004458,-0.4817544,-0.63127875,-0.47193855,0.3405945,0.36284158,-0.21873078,0.5804915,0.47553673,-0.0016464591,0.039396185,0.008859054,1.0937703,0.05022856,-0.5450303,-0.24495605,-0.395495,-0.52661544,0.2865903,0.23823552,1.3616508,0.24431022,-0.74816984,-1.208231,-0.50563335,0.1390023,-0.7586436,-0.38608798,0.4859454,-0.7395754,0.645793,-0.03599357,-1.1836985,0.7694092,-0.13176028,1.3722464,-0.5290925,-0.7380442,-0.26901168,-0.024689779,0.6766406,-0.43584943,-0.2765924,-0.40124184,-0.043209597,0.2529243,-0.10665977,0.31711972,-0.96803236,-0.46468368,0.5948802,0.6531067,-0.6566074,-0.43362162,0.30497053,-0.0749762,-0.33620164,-0.2264229,-0.032932907,0.74017274,-0.21297719,0.34193707
KMS-21-BM,3.4744177,-2.387818,0.33510977,0.8106047,3.4488223,-0.44786355,3.945609,1.4762472,-0.6571444,2.434695,-0.3569282,0.14621572,-0.15740156,-0.6635672,3.4695354,-0.8607346,-1.1648194,-3.0519893,-3.3246343,0.22023341,0.6742468,1.5530672,-0.97838324,-2.8365135,1.1122786,-2.3614647,4.826519,-2.809236,1.6436598,0.9516666,-2.0317605,2.2032804,-3.0225976,-3.4236786,-1.6779735,0.06975604,-0.4259909,2.3992698,-0.47244895,-0.12413438,1.9377658,1.7930671,-0.41521108,-3.2380953,0.74345416,-0.3926195,3.4382515,-0.5131164,0.60142076,0.45729202,1.4454808,-0.5993623,-0.9713491,1.6975034,-1.7081634,-4.854497,-2.6161401,0.23030767,-0.05792078,-0.5783642,1.953321,-0.03714422,0.2237593,0.82170326,-0.31780985,0.48306453,-1.9018583
JHUEM-7,0.038691398,-1.0751926,-1.5122707,-1.0999436,-0.8003831,-1.6332207,-0.6401742,-0.23755947,2.8801649,-0.39100316,0.3543396,1.0990386,0.47583616,-1.2115642,-0.29351717,0.9566891,0.3313508,-0.1071534,1.6839176,1.0620627,1.9803222,-1.2286323,-0.33188504,0.148689,1.468702,-1.719975,-0.19872653,3.537167,2.0692964,0.25474286,2.8046033,1.4146425,2.130568,0.8238562,-2.5808342,-2.0240645,-0.19440183,0.1790163,-3.1928945,-1.3112359,1.9383417,1.6354119,-0.82399875,-0.17399898,2.803075,-0.067651,0.27631348,0.06363151,-1.4307739,-0.2939061,0.63057476,1.4203937,0.5862286,-0.23102568,1.9857345,-1.7597942,0.36079144,0.07070051,-0.4597246,0.066766605,-0.29948285,0.7492659,-0.5890736,0.8213462,2.0533357,-0.5515898,-2.2547154
Hs 751.T,-0.98262465,0.65610063,-0.30301836,-0.7853616,-1.2913713,-0.97992975,-0.4416151,-0.47046006,-0.6040405,0.799564,0.14448354,-0.040491328,0.6533849,0.31601474,0.27271557,0.029312469,-0.013820165,1.1000173,0.3844319,-0.35099322,-0.053496756,-0.38081682,-0.48114046,0.37338647,0.035365313,1.1802158,0.24184726,-0.65537876,-1.0198678,-0.09974499,0.213984,-0.62303114,-0.31310466,0.5024491,-0.22183704,0.4255812,-0.08348279,-1.0563906,0.4482212,-0.08761625,1.1595193,-0.4135598,-0.5931378,-0.5967778,0.06052702,0.57654107,-0.29461616,-0.29173538,-0.20452842,-0.03839332,0.056440573,0.26000917,0.17495061,-0.83967054,-0.41099352,0.5447877,0.53968936,-0.4668833,-0.29962692,0.2771751,-0.0064380695,-0.18768719,-0.6873895,0.1265368,0.8915353,-0.04196816,0.07990524
NCO2,-0.35133162,-0.034588628,1.1312602,0.052930012,-1.9422708,-0.36554873,-1.9092672,0.15340048,-0.30224845,1.7338408,0.29598573,-2.7245693,2.4997237,8.007884e-05,0.20316069,-1.6512328,0.22058979,0.0626221,0.4521932,-1.630744,-0.95441425,-1.8867428,-1.6349019,0.48313135,0.40784007,2.258823,1.4563271,-3.1713507,-1.3746095,-1.2463868,-0.9655682,-1.2114774,-2.2448246,0.5013191,0.059869662,1.7794205,0.704487,-1.9601253,1.1021652,1.3681931,1.7192324,-0.87114275,1.1033285,-1.2022249,0.096852124,0.7295532,0.19384533,0.031005904,0.7178901,2.3258123,0.6344773,0.26788372,0.17506962,-0.29949087,-1.3079886,0.017462209,0.20801921,-0.4230321,0.90871304,0.20850527,0.062456757,0.567911,-0.10989955,-0.464845,-0.8609323,-0.49969822,-1.2273018
RERF-LC-Sq1,0.85446215,0.36361682,0.33009607,1.6441514,0.25182632,1.4736255,-0.47379917,-0.3954447,0.6150473,-0.28065124,0.26632312,0.29059055,0.42535114,-0.3673834,0.67808586,-0.3608251,-0.015348956,-0.18401267,0.34367973,0.038353745,0.05375448,-0.37969798,-0.32642698,0.8010807,-0.36190233,-0.8542081,-0.004200209,-0.01850899,-0.71231073,1.2316251,-0.037893385,0.32353044,0.13502847,0.5222619,0.28933066,-0.033337608,0.7506177,0.4053122,-1.6715789,1.2278405,-1.4914753,0.33427218,0.7470857,-0.56679404,-0.5049232,-0.7996922,0.96585345,0.16699748,0.95089877,0.92781615,-0.93556523,0.95202404,-0.28174037,0.47080195,-0.70806706,0.033570733,-0.4457215,0.044087037,0.92302,0.6559924,0.08533415,0.46949866,-0.7748586,0.57337916,-2.1747298,0.14681612,-0.5981759
TE-11,1.4136492,-0.00717856,-1.4206771,-0.6744367,-0.16378373,-2.1489582,-2.4840355,-3.7906773,-1.3463746,-1.0631748,-3.7330835,0.554776,-1.7371936,-0.089145765,-1.7706885,-1.6504629,1.943037,-0.49284044,-2.157353,0.16847372,5.582482,-0.7275201,-1.1343154,3.844995,-1.8047578,-0.2792676,-1.2552407,0.38073778,0.7983816,-0.06477247,-0.620042,-0.4363726,-0.30706644,-0.24318218,-1.5136416,-4.200947,0.19660205,3.319862,-3.4475112,0.2060402,-0.3548047,-1.9371003,-0.26849136,-1.244222,1.4691088,-5.6255794,-0.86770207,0.83279544,-0.05506965,-2.121799,-4.328296,1.5035484,-0.07142029,-3.8893235,-0.40947145,-1.7863481,-0.7192628,-1.1991165,-1.3106983,1.3932583,0.6158402,0.16946936,1.2904785,2.4401643,2.2608287,-2.3798156,-1.5847036
IST-Mes1,-0.42838907,-2.9539917,2.5354915,4.4673815,2.4996536,1.8377025,-0.28031695,0.8100875,0.4994365,1.0542024,2.1120532,-0.6395012,2.2500706,1.0092353,1.1267112,-0.6671525,-1.6481556,-0.8850726,1.0662642,-2.7965016,-4.222076,0.38508102,-1.5025291,-2.1703658,-0.8278584,-1.5271747,3.6451716,-3.573954,-2.2483604,0.8982371,-0.5921564,0.17350686,1.5432591,0.6828149,0.5008008,4.2587094,0.2174614,-1.5188149,3.1136227,-0.47124803,-3.4585404,0.31960228,1.4242809,-4.6571045,-3.053116,0.7654779,-0.81993276,1.2834688,0.31600624,0.99354815,2.6605253,-2.1847293,-3.5302372,3.2210693,-1.0550519,2.4191027,-1.8462372,1.955152,2.1374285,-3.3651314,-0.5965069,-0.37426847,-1.3403468,-2.3020144,-4.711894,-1.2432655,-0.19286959
NCI-H2227,-0.7600615,0.7079206,-0.95012283,-0.9805113,-1.3126512,-0.9588187,-0.61680067,-0.5265941,-0.4241816,0.9331019,0.3105904,-0.0040022433,0.593199,0.46271798,0.10640217,-0.063442685,-0.0067149056,1.0698125,0.13472179,-0.5593674,-0.14850028,-0.45993066,-0.3678503,0.4520794,0.05530937,1.2620304,0.3763413,-0.66063356,-1.103567,-0.017455816,0.30035225,-0.43641177,-0.3560139,0.6293573,-0.20938924,0.33874437,-0.0108065605,-1.1840087,0.5554769,-0.086788416,1.1415104,-0.5215826,-0.6677752,-0.45215878,-0.09811692,0.8791451,-0.34846124,-0.3545851,-0.27062213,0.048699,0.011402462,-0.23824355,0.25806585,-0.84779906,-0.44581312,0.57213044,0.63992447,-0.6185619,-0.3630152,0.20093608,-0.080989875,-0.1656966,-0.37632748,0.1367597,0.34738183,-0.40053165,0.3770147
RMUG-S,-0.9314395,0.58737665,0.7541712,0.29334897,-0.7941578,-0.2954262,-1.3696856,-0.8075112,-1.6336099,1.1029724,0.05178204,-0.6672379,0.8621532,0.3723434,0.37161446,-1.4106094,-0.7573989,0.4518905,0.5769934,-2.3504543,-0.6474882,0.5780128,-0.5341966,1.3565907,-1.6502101,1.3725424,0.007979598,-2.9165056,-2.8136377,-0.25131428,-1.0305318,-1.1410859,-0.89056075,0.8725222,-0.3783063,1.5170124,0.90521026,-1.3999758,0.98973423,0.6200469,0.107367285,-1.2889997,-0.454112,-0.36272067,-1.1836838,0.023222135,-1.0451888,0.40946203,0.42409772,0.06904122,0.13647953,0.089727744,-0.90926707,-0.53065795,-1.3529228,2.0363045,-0.04947658,-0.5588436,0.41404378,0.5287941,-0.09156341,-0.007482211,-0.67274696,0.7827243,-0.71988547,-0.5116299,0.19165298
SW837,-1.21191,0.6505321,0.3788783,0.05402531,-1.2965466,-1.0474691,-0.23067294,-1.4289882,-1.43623,-0.547354,-1.104526,0.035239607,1.0081537,0.30607435,-0.42718792,0.21992992,0.20109719,0.98615295,-0.11364402,-0.17734626,-0.5779519,0.06794016,-0.18107323,0.47232908,0.4397756,0.7811966,-0.079375766,-0.8162463,-0.033909097,-1.368734,-0.07190982,-0.9025875,-1.3490459,0.51296556,-0.3688489,1.0767492,-0.32424343,-1.4846832,1.4423566,-1.1398456,1.1600213,-0.6809818,0.1672846,-0.09031914,-0.470735,1.5880193,-1.3179018,-0.01711116,0.16207612,0.81050164,0.874713,-1.267857,-0.19485366,-0.77520233,-0.06733688,0.32495898,0.74150634,-0.22875439,-0.1495553,1.1504245,-0.26652235,-0.70159453,-0.048934698,-0.3615409,0.96602935,-0.7724359,0.13138816
SF295,0.74428976,-2.0494227,3.226322,1.1690594,-0.49609393,-0.006948158,-1.1574458,2.499282,-0.35235387,-1.8527745,2.5883136,-2.7860115,1.291967,1.781282,2.5250685,-1.0934999,-2.331796,-0.018240541,2.5117707,-0.15262671,-2.973487,-1.3277802,2.6873786,-0.9828624,2.2566123,-1.8044765,0.4057809,-1.490739,1.231945,3.2037058,0.45253968,1.5192211,1.6876105,2.7584043,1.0064579,0.3272684,2.0486257,-0.692177,-0.73637694,-0.109929934,-2.06034,0.28396615,-0.10383701,0.95970154,-2.3600533,-0.7464254,0.8574416,-4.0040803,2.7920585,-0.7036761,0.8457042,-1.2657808,0.3810641,3.9702604,1.385757,3.0030537,0.15878609,-1.770395,0.9949876,-0.054711387,-1.8768748,2.2246566,-0.2206166,-0.81777745,-2.319847,1.8253543,0.4744698
WM115,-0.64896774,-0.053939097,0.38489956,-1.9675648,-0.20027822,-0.8237074,-0.016637675,0.03206421,0.17708303,0.71037287,-0.6395697,-1.028637,1.8119252,1.2529309,-1.0028796,-0.18534979,0.62561303,0.34187636,0.44594866,-0.7604309,-1.6209307,0.6363939,0.83473265,0.14570716,-1.5222121,3.1096566,-0.2770083,-0.5078152,-0.5159254,1.830213,1.0862304,-2.940496,-0.7207998,0.33162493,0.21042216,1.3752835,0.9721279,-0.59676605,1.1204715,0.20506114,0.09716567,-0.7306165,-1.0183624,0.59138775,0.73876846,1.3294898,-1.1938562,-0.3746561,0.03516993,-1.0171565,0.17123151,0.7922046,0.13408488,2.0996237,-1.2469586,1.064127,0.1923886,-2.4836571,0.38925052,-0.70320076,-1.0442779,-0.6891864,-0.25353572,-1.9262174,0.73176837,-0.095679805,0.55839485
KYO-1,-1.3530128,0.14574559,0.20263582,2.190932,0.10935164,1.0748729,-1.0303097,0.08820694,1.1799206,0.8518283,-0.53114426,1.7418591,-0.33801168,-1.6440802,0.8504797,-0.10890873,0.9316107,1.2498884,-0.5983137,-0.8289669,1.2418988,-0.038277593,0.5082508,0.22360544,1.2599292,0.7082224,-0.24287046,0.04868026,0.88901323,1.9060489,-0.63398594,-0.20832962,0.12037476,-0.1968459,0.6088078,0.014471248,-0.9606463,0.7777125,-1.8819788,0.30864885,-1.6687114,0.16437201,0.7667685,-0.16375303,-0.6611392,0.7381368,1.2631748,2.09179,0.3230762,0.64939713,0.19776711,-0.07864563,-0.4606914,0.7192065,-0.11511473,-0.46339458,-1.1539813,0.24397641,0.4713414,0.38203436,-0.2698184,0.09507044,-0.11549796,-0.83722377,-0.53601366,-0.676467,-2.399659
RS4;11,-1.1442665,0.5116131,-1.534317,-0.7739601,-1.9403672,-1.1102564,-0.8377862,-0.94145346,0.5925656,0.43615204,0.9658586,-0.07947951,0.9200912,0.26946282,-0.16629554,0.42067948,0.19505066,1.4740211,0.58727455,-0.17162597,0.4127673,-1.3330588,-0.89870346,0.01444594,0.9415082,0.5060694,1.0960912,0.362333,-0.50361836,-1.1474031,0.16924271,-0.021078184,-0.28897694,0.76227784,-1.1402776,0.16832736,-0.41723168,-1.6884209,0.71003425,-0.4092465,2.16433,0.31804824,-0.72932744,-0.5864125,1.1522019,1.2906154,-0.16713917,-0.6623951,-0.73201126,1.6408556,0.4966708,-0.041884124,0.43327442,-1.6089908,0.27774662,-0.6730207,0.958608,0.1757433,-0.41733888,0.27208737,0.03933194,-0.17981747,-0.3358199,0.28048682,0.7989632,-0.074453995,-0.6576169
NCI-H1385,0.23323816,-4.8306637,0.5064102,3.275997,3.9501743,0.5618467,0.55241257,-1.0585192,-0.7671516,1.2999179,0.743525,0.26857296,-0.8241533,1.164939,0.31541497,0.51224947,-3.221973,-2.4579875,-1.8022274,0.32680306,-3.6158113,2.1098208,-3.1646254,-1.7936556,1.8447733,-4.654831,4.183098,-0.12056854,-2.5196166,-0.046667054,-2.442778,1.3026726,1.8022816,-0.74162006,-3.5183957,1.6669035,-1.8576323,-1.3071125,3.0693982,-0.029911265,1.3381904,2.15413,0.97537714,-3.331131,-1.6292065,0.5576967,0.83212495,-1.3359331,-1.0640764,3.4573429,0.17976193,-1.9914145,-3.3671486,-0.4281288,2.0591197,1.2113509,-0.87714374,2.747176,-0.7857063,-2.5033698,-0.5195364,-1.1868719,-0.7290449,1.6171753,-3.501298,-0.6937622,-1.7581472
